"Crep1" "Crep2" "Crep3" "Trep1" "Trep2" "Trep3" "VMrep1" "VMrep2" "VMrep3" "PErep1" "PErep2"
"106392191" 6.1874875471842 7.21971861914169 6.81398989274239 6.82375975599987 6.37769907184436 6.0710264697918 6.1551001512189 6.23965977274724 4.98569713892409 7.19369882717898 5.90007797472715
"106392189" 6.1874875471842 7.21971861914169 6.81398989274239 6.82375975599987 6.37769907184436 6.0710264697918 6.1551001512189 6.23965977274724 4.98569713892409 7.19369882717898 5.90007797472715
"106392193" 9.68300024628256 9.50889684043453 9.53834039515151 9.59232092363445 9.47405552836043 9.44479184557786 10.0482117182534 9.6036322750823 8.94590034405053 10.4199455121723 8.27539739420758
"106392192" 7.66686823852115 8.15031446565746 8.15985480454379 7.38809314385547 7.77958584670074 7.82853899074228 8.65456693812192 8.85438405350422 7.04955240080762 7.55285347067525 7.97804235487381
"106366505" 7.85061967895545 7.99702814361426 7.67350312329293 7.6090506121398 7.15951526831108 7.46389600272452 8.80560945887684 8.81397474110729 10.2065571558415 8.32240738270141 6.68957062228037
"106366504" 7.85061967895545 7.99702814361426 7.67350312329293 7.6090506121398 7.15951526831108 7.46389600272452 8.80560945887684 8.81397474110729 10.2065571558415 8.32240738270141 6.68957062228037
"106385316" 8.00621016522465 8.09382490947712 7.85735909434374 7.74235015747639 7.81643155485119 7.87573716324598 9.7715299384376 10.6093270385895 8.90521431237806 7.54221918731172 8.03867093196393
"106379775" 6.5135616485624 4.73902658406845 2.53720030326258 7.4202960913296 6.48880548246301 6.84455144688787 2.53720030326258 2.95559122203552 2.53720030326258 5.78355094043617 7.01596531784264
"106364236" 6.5135616485624 4.73902658406845 2.53720030326258 7.4202960913296 6.48880548246301 6.84455144688787 2.53720030326258 2.95559122203552 2.53720030326258 5.78355094043617 7.01596531784264
"106379777" 2.53720030326258 4.3855761737198 2.53720030326258 2.53720030326258 3.11594318862801 4.29306643980638 4.50131765473951 4.13388880351772 5.16212562501341 3.721076849667 3.77051085318135
"106392092" 7.99881695560976 8.37433290127458 8.07335302586806 7.81678430376093 8.13109327601308 7.78681516177966 7.94453933841032 9.22057626805348 8.27750250715755 7.298568971991 8.44548466769662
"106358567" 9.1741098440545 9.31873468845813 9.23066674374008 9.04353279619966 8.96589543577303 8.65183496876696 10.1810184531073 8.39644379672381 10.6631512624782 9.46053579160362 8.50039261107643
"106358569" 2.53720030326258 3.22965562869975 5.59528967075841 5.11072884008107 4.77721264913402 4.90252834118282 4.26710282400316 4.75916273747441 5.27551315302312 4.74891254736944 4.73145449791249
"106358570" 10.654136683066 10.5376712815741 10.491420185206 9.81230551753938 9.66281362607463 9.97844441261767 9.96476679098079 10.7690492504447 8.83474487179258 10.166854887575 10.143438008158
"106345424" 2.53720030326258 2.53720030326258 2.53720030326258 2.53720030326258 4.34828473544126 4.20269170094937 2.53720030326258 2.53720030326258 2.53720030326258 3.23328016618763 3.10208693184457
"106452357" 2.53720030326258 2.53720030326258 2.53720030326258 2.53720030326258 4.34828473544126 4.20269170094937 2.53720030326258 2.53720030326258 2.53720030326258 3.23328016618763 3.10208693184457
