external_gene_name	ENTREZID	GO	GENENAME	GOTERM	Description_Ensembl	Uniprot_ID	PANTHER_Family_name	PANTHER_SF_name	Description_NCBI	ALIAS	lfc_HeatStress_SAHA	padj_PE_SAHA	Crep1	Crep2	Crep3	Trep1	Trep2	Trep3	VMrep1	VMrep2	VMrep3	PErep1	PErep2
BnaA01g00300D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -4.53	0.0313101578622548	3.04479714941578	3.04479714941578	4.73109565872812	3.04479714941578	3.04479714941578	3.58058867185319	4.97133170782014	4.78649099540572	4.44883190271105	4.39311949129516	3.86821440066085
BnaA01g00570D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  3.05	0.000123078317837799	5.60132953050122	5.36173097321736	6.37468662624083	7.06793725949369	7.835187034064	7.64658927425429	3.92850955277269	3.54562306975176	3.76727529500865	4.28261033607098	5.03758098694227
BnaA01g00640D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  5.61	0.0425630423474314	4.77595963460546	4.19514654632984	3.04479714941578	3.04479714941578	4.797346481965	4.21723010930665	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	3.72009537967074
BnaA01g00680D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  1.72	0.0147244076574781	7.9287050583796	5.55004596154225	6.55909627866186	8.20054794128555	7.0539240729797	7.37302231303303	5.14327336562568	4.8700498865702	4.52736744700907	5.78934729122262	6.08705665073865
BnaA01g00850D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -3.92	0.0213425104288222	3.04479714941578	3.04479714941578	4.81255769290764	3.04479714941578	3.04479714941578	4.21723010930665	4.49397234331782	3.83089400393818	4.17034638632896	3.04479714941578	3.52446393442785
BnaA01g00860D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -3.3	0.0306282975588455	4.60989424068168	3.04479714941578	5.84241550035593	3.04479714941578	3.04479714941578	4.21723010930665	4.53265543310301	5.24058983901114	5.06564079787094	4.15835430811467	4.4359122367819
BnaA01g01090D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -6.49	0.000399394290721014	4.69585512241442	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	5.18845058920611	5.2203091070704	4.63571211569232	3.84172258378235	3.72009537967074
BnaA01g01250D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -3.53	0.0335471060089812	4.41551891949943	3.04479714941578	3.63531456763907	3.04479714941578	3.04479714941578	3.79828959677201	5.57132686553293	5.31872202644499	5.80648322619344	4.58482290087834	4.28151411933627
BnaA01g01500D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  1.05	0.026957198495581	7.67811689028849	7.55144849544798	7.61185028067666	7.20166254025265	7.9196450125144	7.71152882934403	6.8844517862956	6.94171185423845	6.96332093486781	7.76582360850872	7.96625547694945
BnaA01g01820D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  6.08	0.0239992947554171	3.04479714941578	3.04479714941578	3.04479714941578	5.39781755193702	3.04479714941578	3.58058867185319	3.04479714941578	3.04479714941578	3.04479714941578	3.84172258378235	3.04479714941578
BnaA01g01930D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -2.86	0.0273029337423749	5.37938549815169	4.63356845110247	5.42489810117696	3.04479714941578	3.04479714941578	4.9828145006075	6.05727405111295	6.00365290497976	6.19293218162927	4.95896928886949	5.08003132771963
BnaA01g02420D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  5.86	0.0272970750560708	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	4.68001533912974	4.09894218579496	3.04479714941578	3.04479714941578	3.04479714941578	3.61184319933665	3.52446393442785
BnaA01g02780D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -4.89	0.00351045523787941	5.05232532151566	3.04479714941578	5.56410638323096	3.04479714941578	3.04479714941578	4.09894218579496	4.57004365759173	4.24299884011279	3.92519896654318	3.04479714941578	3.72009537967074
BnaA01g02990D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC :  -1.47	0.0281848178170497	7.36273449408003	5.2006669710922	6.53731411667682	5.1987678547941	5.40600248933863	6.12183848729851	6.69617494658068	7.06638118438799	6.93856977377904	6.17758970174361	6.18286219381419
