external_gene_name	ENTREZID	GO	ONTOLOGY	GENENAME	GOTERM	Description_Ensembl	UniprotAcc	gene_name	persistent_id	name_PC	id_PC	Uniprot_ID	PANTHER_SF_ID	PANTHER_Family_name	PANTHER_SF_name	Description_NCBI	ALIAS	lfc_HeatStress	padj_HeatStress	Crep1	Crep2	Crep3	Trep1	Trep2	Trep3	VMrep1	VMrep2	VMrep3	PErep1	PErep2
BnaA01g00050D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  -2.01	0.0315853750671472	5.60132953050122	5.67586105256689	3.04479714941578	6.44538650273042	6.29459087968829	5.56384342149705	6.9357819430662	6.55663490369723	6.28483763511621	5.68190105175893	5.23709135901076
BnaA01g00200D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  1.44	0.0043368510614896	9.63487833256396	8.94251646736967	8.73853093163173	7.63857155033928	8.41538668710045	8.46149118853503	7.79594226015947	7.6582324349971	7.78903458270195	9.12606719613074	9.01205120565869
BnaA01g00340D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  -3.14	3.38573518048767e-10	5.99085778479364	6.14669081047805	6.16256763510905	3.04479714941578	6.79657406814832	5.88516735668605	8.9682290336329	8.95718469673579	8.94045835387556	6.27821440634236	6.06708421764037
BnaA01g00360D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  3.83	0.033719679419447	5.71893580642026	5.45918337852773	3.04479714941578	4.49690024480517	3.04479714941578	4.21723010930665	3.41026001838346	3.04479714941578	3.55830633970976	4.39311949129516	4.09871982702954
BnaA01g00410D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  1.56	0.0362835465955451	6.05126983605324	7.23044299974362	7.64259487151009	6.5090153876629	6.48234047641546	6.73907860359179	5.23211266919242	4.52978059037498	5.11320542266844	6.27821440634236	6.06708421764037
BnaA01g00500D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  -1.32	0.0304358458739026	5.51687944411951	7.26986703487879	6.1908959885298	7.05385160070458	7.0214412983084	6.80031576757893	7.85360725884417	7.96161823372639	7.82313522273461	6.74896944338001	6.99288882560939
BnaA01g00710D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  2.61	0.0231133062662086	6.68371371917325	3.63128359317957	5.72997138472651	3.04479714941578	3.04479714941578	4.32259090777769	4.8025330645241	4.14356104383958	3.92519896654318	6.0692015834635	5.23709135901076
BnaA01g01050D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  8.43	3.39194991433249e-08	5.37938549815169	5.08108367105262	5.72997138472651	3.04479714941578	3.04479714941578	3.58058867185319	3.04479714941578	3.04479714941578	3.04479714941578	4.58482290087834	4.28151411933627
BnaA01g01240D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  -4.29	0.031446212909553	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	4.32259090777769	5.53760044843097	5.11388027115775	4.56464430850848	3.04479714941578	4.09871982702954
BnaA01g01330D	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LFC :  -1.26	0.019975453129245	9.40932525891201	9.26464189202488	9.0674827943567	10.1296353627945	10.0927041519578	10.0924854071379	9.18171367309435	8.6239994352917	8.34113209685629	8.06644117361738	7.84425360275108
